titulo,subtitulo,primer_parrafo,seccion
Cometa verde: cuándo se podrá ver desde Argentina y cómo seguirlo online,Pasa por la Tierra cada 50.000 años,"Un inusual cometa verde que pasa por la Tierra cada 50.000 años ya puede verse desde distintos lugares del mundo y  en el país podrá apreciarse con mayor nitidez durante los primeros días de la próxima semana. Se trata del cometa C/2022 E3 (ZTF), que fue descubierto a principios de 2022 cuando se encontraba dentro de la órbita de Júpiter, el quinto planeta del sistema solar.",Ciencia
"Como en Terminator 2: crean un robot ""líquido"" que atraviesa rejas",Puede utilizarse con fines médicos,"La fantasía de Terminator 2 parece hacerse realidad. Investigadores de la Universidad Carnegie Mellon, de Estados Unidos, crearon un robot que puede pasar de estado sólido a líquido, y viceversa, según los deseos de quien lo maneje.",Ciencia
¿Hubo vida en Marte?: un meteorito podría dar la respuesta ,Científicos encontraron magnesio en forma orgánica en su composición,"Un meteorito que cayó en la región norte de África, precisamente en Marruecos, podría ser la clave para entender si hubo o no vida en Marte.",Ciencia
"De las bikinis en la Antigua Roma a los primeros viajes de egresados, cómo cambió el turismo a lo largo de la historia",Los primeros registros turísticos tienen más de dos milenios,"Las vacaciones están pensadas como descanso del tiempo productivo. Sin embargo, el turismo es algo distinto: significa cambiar de lugar, trasladarse a otro espacio, que no sea la residencia habitual, por más de un día y menos de un año. A su vez, según la definición de la Organización Mundial del Turismo, se espera que los turistas solamente realicen gastos y no generen ingresos económicos en ese lapso. Pese a que fue mutando a lo largo de las décadas, se supone que, como tal, es algo relativamente nuevo. En diálogo con la Agencia de Noticias Científicas de la UNQ, Marlene Pedetti, directora de la Licenciatura en Turismo y Hotelería de la Universidad Nacional de Quilmes, desmitifica este relato: “La historia del turismo la contamos desde que el hombre se puso de pie y empezó a andar”.",Ciencia
¿La Tierra podría colisionar contra el Sol?,Una hipótesis a partir de observar cómo un exoplaneta decayó alrededor de su estrella madura,"Astrónomos observaron por primera vez un exoplaneta cuya órbita decae alrededor de una estrella madura en una trayectoria en espiral que parece destinada a la colisión hasta su destrucción final.El descubrimiento, publicado en la revista 'The Astrophysical Journal Letters', ofrece nuevas perspectivas sobre el largo proceso de desintegración de las órbitas planetarias, ya que es la primera vez que se observa un sistema en esta fase avanzada de la evolución. Se cree que la muerte estelar aguarda a muchos mundos y podría ser el adiós definitivo de la Tierra dentro de miles de millones de años, a medida que nuestro Sol envejece.""Anteriormente habíamos detectado indicios de exoplanetas que se inspiran en sus estrellas, pero nunca habíamos visto un planeta de este tipo alrededor de una estrella evolucionada --explica en un comunicado Shreyas Vissapragada, becario 51 Pegasi b del Centro de Astrofísica Harvard/Smithsonian y autor principal del estudio--. La teoría predice que las estrellas evolucionadas son muy eficaces a la hora de extraer energía de las órbitas de sus planetas, y ahora podemos probar esas teorías con observaciones"".El exoplaneta se denomina Kepler-1658b. Como su nombre indica, los astrónomos descubrieron el exoplaneta con el telescopio espacial Kepler, una misión pionera de caza de planetas que se lanzó en 2009. Curiosamente, fue el primer nuevo candidato a exoplaneta que observó Kepler pero se tardó casi una década en confirmar la existencia del planeta, momento en el que el objeto entró oficialmente en el catálogo de Kepler como la entrada número 1658.Kepler-1658b es un Júpiter caliente, apodo que se da a los exoplanetas de masa y tamaño similares a los de Júpiter, pero en órbitas ultracercanas y abrasadoras en torno a sus estrellas anfitrionas. En el caso de Kepler-1658b, esa distancia es sólo una octava parte del espacio entre nuestro Sol y Mercurio, su planeta orbital más cercano. Para los Júpiter calientes y otros planetas como Kepler-1658b que ya están muy cerca de sus estrellas, el deterioro orbital parece que culminará en su destrucción.",Ciencia
Estudiantes de la Universidad Nacional de Quilmes crean el primer reloj de ajedrez parlante del mundo con software libre,Una innovación que puede ser replicada por quien lo desee,"Estudiantes de la Universidad Nacional de Quilmes fabricaron el primer reloj parlante del mundo con software libre para que personas ciegas puedan jugar al ajedrez en igualdad de condiciones con el resto. La idea, que surgió en el marco del seminario “Introducción a la Electrónica y Programación de Controladores con Arduino” de la Tecnicatura Universitaria en Programación Informática, la llevaron a cabo Miguel Barraza, Juan Contardo y Leandro Otel. Con el acompañamiento del docente José Luis Di Biase, presentaron su desarrollo en el Día Internacional de las Personas con Discapacidad. El objetivo es que cualquier persona que tenga noción en el tema pueda armar su propio reloj, por eso la información de cómo y con qué componentes se realizaron está disponible en la web. El sueño es que sea habilitado por la Federación Internacional de Ajedrez y reemplace al reloj tradicional.",Ciencia
Big Bang: Argentina intentará revelar en Salta qué sucedió hace 14 mil millones de años,"Qubic, un proyecto ambicioso para conocer el origen de todo","Este miércoles, el ministro de Ciencia, Tecnología e Innovación, Daniel Filmus, inaugurará el telescopio QUBIC en Altos Chorrillos, provincia de Salta, a 4900 metros sobre el nivel del mar. QUBIC es un proyecto internacional de cosmología experimental que busca dar respuesta a una pregunta clave en el mundo de la ciencia: ¿Qué pasó en esas primeras fracciones de segundo después del Big Bang? En términos técnicos, el telescopio será capaz de medir la polarización de la radiación de fondo cósmico de microondas, es decir, mensurar la oscilación de la luz en busca de vestigios de las ondas gravitacionales primordiales, que ocurrieron hace 13.800 millones de años.",Ciencia
Hongos en los pies: prevención y tratamiento,Por qué aumentan en esta época,"Con la llegada de los primeros calores de la temporada crecen las ganas de practicar actividad física en alguna de sus formas. A los ejercicios en los gimnasios y al aire libre, se le suman las piletas, que empiezan a tener su mayor esplendor en esta época.",Ciencia
Qatar 2022: el Mundial de fútbol más tecnológico de la historia,Ciencia de datos aplicada al deporte,"La Copa del Mundo Qatar 2022 será la competencia de fútbol internacional con la mayor intervención de la tecnología en la historia. Por primera vez, se implementará el fuera de juego semiautomatizado (probado en la Supercopa de Europa y en la fase de grupos de la Champions League) y la pelota tendrá un sensor denominado Unidad de Medición Inercial. Se espera que con el uso de ambos instrumentos se agilicen las decisiones del VAR y el margen de error de los árbitros sea nulo. Pero, ¿en qué consisten específicamente estas novedades? La Agencia de Noticias Científicas de la UNQ realiza un repaso.",Ciencia
"Amor, sexo y tubos de ensayo: los matrimonios más famosos de la ciencia",Vida y obra de dúos memorables,"Dicen que la experiencia del amor es un patrimonio compartido por todos los seres humanos. La historia del pensamiento científico no es ajena a esta afirmación. Son varias las páginas románticas entre reconocidos protagonistas de la ciencia que ejercieron una influencia, un enriquecimiento y una motivación mutua, no solo en el plano personal sino también intelectual. Sus trabajos, realizados en equipo, resultan pilares fundamentales para la ciencia moderna.",Ciencia
No hay dos iguales: ¿Qué esconden las huellas dactilares?,Se definen en la semana de gestación 19 y luego son inmutables,"Huellas dactilares: todos los seres humanos las tienen desde que nacen y, a lo largo de su vida, las van imprimiendo involuntariamente por varias partes. Anatómicamente, constituyen la estructura formada en la yema de los dedos por las crestas papilares (glándulas de secreción de sudor situadas en la dermis).",Ciencia
La minoría pelirroja: ¿Por qué su mutación genética los convierte en únicos?,"En Escocia, los pelirrojos pueden llegar a representar el 13 por ciento de los ciudadanos","La población pelirroja representa un porcentaje muy bajo en la totalidad mundial: tan solo el dos por ciento. Esta condición es la que, en la Edad Media, los condenaba a la hoguera o en la antigua Grecia a ser arrojados desde el Olimpo. Pero los avances científicos lograron una victoria sobre estos y otros mitos: hoy se puede explicar, a ciencia cierta, el origen de los excepcionales rasgos de las personas pelirrojas. En la Agencia de noticias científicas de la UNQ se elaboró un repaso a partir de la voz autorizada de un científico.",Ciencia
Entre el humor y la curiosidad: la ciencia detrás de los récords Guinness,El conocimiento oculto en los fenómenos más disparatados,"¿Puede el ser humano ser recordado por llevar a cabo grandes hazañas? Efectivamente. Y nadie registra mejor la superación de los límites de la humanidad que el Guinness World Records, el famoso y peculiar libro que reúne algunos de los hechos más extraordinarios de la naturaleza con una amplia diversidad de capacidades y cualidades humanas. Pero ¿en qué medida la ciencia participa en estos récords? ¿Cuál es la mejor forma de pasar a la historia y lograr una marca Guinness? Desde la Agencia de noticias científicas de la UNQ lo repasamos. ",Ciencia
Elon Musk presentó Optimus: un nuevo robot humanoide que podría cambiarlo todo ,¿Se viene la revolución de las máquinas?,"Mide 1,73 metros, pesa 57 kilos y puede correr hasta 8 km por hora, regar las plantas, saludar, transportar 20 kilos y levantar 68. Se llama Optimus, y es el nuevo robot humanoide de la empresa Tesla, que busca convertirse en el primero en venderse masivamente. La firma fabricante de automóviles presentó un prototipo de robot humanoide que caminó rígidamente, sin amarras, en el escenario en el Día de la Inteligencia Artificial de Tesla, saludó lentamente a la multitud e hizo gestos con las manos durante aproximadamente un minuto.",Ciencia
Júpiter alcanzará su punto más cercano a la Tierra en casi 60 años: cómo y cuándo verlo,El planeta resaltará como un punto especialmente brillante en el cielo ,Este lunes se podrá ver a simple vista un fenómeno astronómico que no ocurre desde hace 59 años: el mayor acercamiento de Júpiter a la Tierra.,Ciencia
"De Laika a Balto, los perros que hicieron historia en la ciencia ",Animales que protagonizaron hitos y avances científicos,"Un último lengüetazo de agua y la cabina se cerró. Afuera, una explosión cilíndrica iluminó el cosmos, mientras la pequeña cosmonauta ascendía más allá de la estratósfera. Se llamaba Laika y fue el primer ser vivo en orbitar la tierra y uno de los perros más famosos del mundo. ",Ciencia
