titulo,subtitulo,primer_parrafo,seccion
El vacío en la ensalada mediterranea,De Arte no entiendo nada,"Todo se inició en Troya, donde mandar fruta en la receta del caballo, logró conquistar la mejor fórmula para entrarle.",Cultura
"Murió Claudio Da Passano, actor de ""Argentina, 1985"", de larga trayectoria en el teatro y la TV","Trabajó en ""Chiquititas"", ""Poliladron"" y ""Frecuencia 04""","El actor Claudio Da Passano murió este miércoles a los 65 años, según informó la Asociación Argentina de Actores. De larga trayectoria en el teatro, el cine y la televisión, uno de sus últimos papeles fue en “Argentina, 1985”, la película sobre el Juicio a las Juntas Militares que este martes fue nominada a los Premios Oscar 2023. Los conmovedores mensajes de Ricardo Darín, Alejandra Flechner, Peter Lanzani y Víctor Hugo Morales, con quienes Da Passano trabajó a lo largo de su carrera.",Cultura
Harry Potter llega al Teatro Colón,"Proyectarán ""Harry Potter y la piedra filosofal"" con orquesta en vivo","La música que John Williams compuso para Harry Potter y la piedra filosofal, primera entrega de la popular saga de filmes del famoso niño mago, será interpretada en vivo el 24 y 25 de febrero por la Orquesta Estable del Teatro Colón, en simultáneo con la proyección de la película de 2001 en una pantalla de 12 metros de alta definición.Se tratará de la puesta en marcha en nuestro país de la ""Serie de Conciertos de Películas de Harry Potter"", una iniciativa estrenada mundialmente en 2016 y que prevé más de 2.973 actuaciones en más de 48 países hasta 2025. En este caso, la interpretación estará a cargo de la Orquesta Estable del Teatro Colón y tendrá como director a Benjamin Pope.“Nos complace enormemente brindar a los fans la oportunidad, por primera vez en la historia, de experimentar las galardonadas partituras interpretadas en directo por una orquesta sinfónica, todo ello mientras se proyecta simultáneamente la entrañable película en la gran pantalla. Es un acontecimiento verdaderamente inolvidable”, dijo Justin Freer, presidente de CineConcerts y productor y director de la serie de conciertos de Harry Potter, a través de un comunicado.“Harry Potter es sinónimo de emoción en todo el mundo y esperamos que al interpretar esta increíble música con la película completa, el público disfrute volviendo al Wizarding World”, apuntó su socio Brady Beaubien.Los tickets para esta primera serie de conciertos están disponibles a través del sitio Tuentrada. En 2022 hubo una iniciativa similar en el Colón con El imperio contraataca, la segunda parte de la saga de La guerra de las galaxias, que se proyectó en la sala del primer coliseo con música de Williams en vivo. ",Cultura
"Domar el riesgo, el libro de management de Marcelo Romeo",,"Marcelo Romeo, presenta su libro de management a partir de másde 30 años de experiencia de trabajo en marketing y comunicación de grandes marcas. La obra está publicada por Ediciones Granica, especializada en textos de negocios y gestión empresarial.",Cultura
El fondo blanco de los mimos,De Arte no entiendo nada,"Buscando desesperadamente un protector solar, en el inmenso calor de verano, me vino a la memoria un episodio. El argentino o la argentina que niega sus orígenes del conurbano, cuando viaja al exterior se pone como una especie extraña, que es mimosa fuera de su tierra. En ese sentido el odio por la propia nación florece como jazmín en diciembre. Ese complejo de inferioridad canalizado en su patria, da vergüenza ajena. Más aún cuando uno lo tiene que soportar calladito, mientras toma un café en la mesa de enfrente de un bar, en otro país, escuchando lo que dicen algunos.",Cultura
"John Carpenter, un director que redefinió el miedo en el cine ",Un repaso a la carrera del cineasta que cumple 75 años,"El cine estadounidense de los años 70 vivió una era dorada: Francis Ford Coppola, Steven Spielberg, Martin Scorsese, Brian De Palma, entre otros, cambiaron a Hollywod. La, para muchos, mejor década de la historia de la industria, llevó a un primer lugar a una camada fogueada en la cinefilia, con formación universitaria más que en los grandes estudios, y con una mirada crítica sobre el pasado. En ese neoclasicismo se cuenta el nombre de John Carpenter, que cumple 75 años.",Cultura
Barenboim renunció como director de la Ópera de Berlín ,"""Mi estado de salud emperó significativamente en el último año"", admitió el músico ","El director de orquesta y pianista argentino-israelí Daniel Barenboim anunció este viernes su renuncia como director musical de la Ópera Estatal de Berlín ""debido a persistentes problemas de salud"".""Desgraciadamente, mi estado de salud empeoró significativamente en el último año"", dijo Barenboim en un comunicado. Añadió que por esa razón ya no puede ""ofrecer el rendimiento que se espera con razón de un director musical"".El músico cumplió 80 años el pasado 15 de noviembre. Ocupaba el cargo desde 1992 y tenía contrato hasta 2027. Afirmó que su renuncia será efectiva el 31 de enero.En octubre pasado y tras haber renunciado a varios compromisos por problemas de salud, Barenboim había anunciado que padecía una ""enfermedad neurológica grave"". No obstante, retomó la batuta para dirigir la novena sinfonía de Beethoven en dos conciertos de Año Nuevo el 31 de diciembre y el 1º de enero, ante una ópera Estatal abarrotada que lo ovacionó.""A lo largo de los años, nos hemos convertido en una familia musical y seguiremos siéndolo"", dijo en su comunicado. Y agregó: ""No hace falta decir que seguiré, mientras viva, muy vinculado a la música y que estoy dispuesto a seguir dirigiendo, también y especialmente con la Staatskapelle Berlín"".Nacido en la Argentina, Barenboim debutó internacionalmente como pianista a los diez años, antes de convertirse en un destacado director de orquesta. También creó una fundación y la Orquesta West-Divan para promover la cooperación entre los jóvenes músicos de Israel y los países árabes.",Cultura
El Caso Dreyfus: la conspiración antisemita que dividió a Francia,El militar que fue encarcelado por un hecho de espionaje del que era inocente ,"El 5 de enero de 1895, en una mañana invernal, el Ejército francés llevó adelante una ceremonia de degradación. El capitán Alfred Dreyfus ingresó al patio de la Escuela Militar, en París, donde había centenares de oficiales formados. Se cuadró ante un superior que le sacó las charreteras y entregó su sable, que el otro procedió a romper. Dreyfus se retiró y rompió el protocolo de la ceremonia exclamando que era inocente. Semanas más tarde partió en barco rumbo a la Isla del Diablo para cumplir su condena a cadena perpetua por traición a la patria. Parecía que era el acto final del escándalo de espionaje que había sacudido a la sociedad francesa. El drama recién comenzaba.",Cultura
La pantalla del amor,De Arte no entiendo nada,"La cartelera del cine Plaza, de los años 70 en San Martín, me viene a la memoria de forma inexplicable. Se trata de la película argentina “La carpa del amor”. ",Cultura
La insoportable levedad del lobby,De Arte no entiendo nada,"Escuché en el ascensor de un edificio céntrico una charla de tres hombrecitos, uno de ellos era gris. La conversación fue breve y se los veía preocupados por su corta agenda para conseguir nuevos trabajos. Mientras el más decidido dijo: “yo puedo ofrecer contactos”.",Cultura
Se presenta la película documental “UN DÍA EN MOVIMIENTO”,En el marco de los festejos por los 100 años de YPF ,"En el marco de los festejos por los 100 años de YPF se presenta la película documental “UN DÍA EN MOVIMIENTO”, que cuenta el propósito de la empresa más emblemática de la Argentina: darle al país y a su gente la energía que necesita para avanzar. ",Cultura
"Se presenta “Un día en movimiento”, el documental sobre YPF",En el año de su centenario ,"En el marco de los festejos por los 100 años de YPF se presenta la película documental “UN DÍA EN MOVIMIENTO”, que cuenta el propósito de la empresa más emblemática de la Argentina: darle al país y a su gente la energía que necesita para avanzar.",Cultura
La final y el chancho de metal,De Arte no entiendo nada,Se impone la búsqueda del tesoro en la ausencia del gran banquete de las fiestas carnívoras.,Cultura
Annie Ernaux subrayó el carácter machista del Premio Nobel,La autora francesa recibirá el máximo galardón literario este sábado ,"La escritora francesa Annie Ernaux, galardonada este año con el Premio Nobel de Literatura, remarcó este martes el carácter machista del lauro. Lo hizo a días de la entrega de la distinción, que tendrá lugar en Estocolmo el próximo 10 de diciembre. ",Cultura
El gol que dejó mudo a Copérnico,De Arte no entiendo nada,"El desencuentro y la inspiración van de la mano en esa sensación de vacío que dejan los vínculos asimétricos. Observo, desde el lente del improvisado telescopio, aquella constelación de personas con las que tenemos conexión onírica pero es imposible el encuentro terrestre.",Cultura
Bizarrap fue el artista argentino más escuchado del mundo en Spotify  ,De la mano del español Quevedo,"Por estas horas es el propio joven productor Bizarrap el que le anda rezando a Dios pa' repetirlo otra ve'. Es que de la mano del español Quevedo, con la Session #52, se convirtió en el artista argentino más escuchado del mundo, según Spotify.",Cultura
"Murió Irene Cara, la voz de ""Fama"" y ""Flashdance"" ",La actriz y cantante tenía 63 años ,"La cantante Irene Cara, que obtuvo fama en la primera mitad de los 80 por ser la voz de los temas principales de las películas Fama y Flashdance, falleció a los 63 años. La noticia la dio a conocer su publicista Judith Morse a través de un comunicado en la cuenta oficial de Twitter de la artista.",Cultura
"""Casablanca"": 80 años de un clásico",Las claves del éxito de la película con Humphrey Bogart e Ingrid Bergman ,"Hablar -¿o escribir?- de Casablanca es como mirar una vieja fotografía: ahí está uno, pero de alguna manera ése no es uno: por el medio está el recuerdo, el tiempo pasado y la renovada presencia fotográfica, ganada su batalla al tiempo, pero perdiéndola, porque el tiempo no pasa: pasa uno por él y como en un estrecho pasadizo de zarzas se deja el vestido y la piel en sus espinas: en fin, que el tiempo es como la banca en la ruleta, siempre gana, aun perdiendo gana. ",Cultura
"Murió Hans Magnus Enzensberger, uno de los mayores intelectuales europeos",El ensayista alemán tenía 93 años ,"El escritor y traductor alemán Hans Magnus Enzensberger murió en Múnich a los 93 años, informó este viernes la editorial Suhrkamp. Su deceso se produjo el jueves. ""Como poeta, ensayista, biógrafo, editor y traductor, fue uno de los intelectuales alemanes más influyentes y reconocidos mundialmente"", se lee apenas se ingresa a la web de la editorial, donde comunicaron el fallecimiento del autor de El corto verano de la anarquía. Nacido en 1929 en el Allgau bávaro, Enzensberger estudió literatura, idiomas y filosofía en Friburgo y París, entre otros lugares. En 1955 se doctoró en la poética del escritor alemán del romanticismo Clemens Brentano y dos años más tarde publicó su primer libro, un poemario titulado Defensa de los lobos.A partir de 1965, Enzensberger publicó la revista Kursbuch , que cofundó y desde entonces, la editorial Suhrkamp Verlag ha publicado numerosos títulos, incluido el volumen Mausoleum (1978), que habla de las contradicciones del ""progreso"" en 37 baladas, o ¡Ach Europa! (1989), en el que Enzensberger mira al Viejo Mundo desde los bordes.A lo largo de su vida, recibió premios como el Hugo Jacobi en 1956, el de la Crítica en 1962, el Georg Büchner en 1963, el Etna Taormina en 1967, el Pasolini en 1982 y el Heinrich Boll, en 1985. Más recientemente, había obtenido el Premio Frank Schirrmacher, en 2015.Entre sus obras  destacan Política y delito, El interrogatorio de La Habana: autorretrato de la contrarrevolución, Detalles, Poesías para los que no leen poesías, Migajas políticas, El misántropo y Europa, Europa.En 1972 publicó El corto verano de la anarquía, una biografía novelada del anarquista español Buenaventura Durruti, y realizó una nueva traducción de La casa de Bernarda Alba de Federico García Lorca.En febrero de 1989, fue uno de los 22 periodistas de Alemania Federal que pidió al gobierno de Bonn medidas de presión económica contra Irán, con el fin de que ese país retirara las amenazas de muerte contra Salman Rushdie, autor de la novela Los versos satánicos.En 2002, Enzensberger fue galardonado con el Premio Príncipe de Asturias de Comunicación y Humanidades. Como poeta, ensayista, biógrafo, editor y traductor, fue uno de los intelectuales alemanes más influyentes y reconocidos mundialmente.",Cultura
Zárate: el intendente Cáffaro presentó la Cumbre de Cumbres en la Academia Nacional del Tango,,El evento organizado por el Municipio de Zárate reunirá a importantes artistas del género.,Cultura
"Murió Pablo Milanés, un ícono de la Nueva Trova cubana",El cantautor falleció en Madrid a los 79 años ,"El cantautor cubano Pablo Milanés falleció a los 79 años. La muerte lo sorprendió en España, adonde vive hace años con su esposa, Nancy Pérez. El cantautor estaba por hacer unas presentaciones que debió suspender por su internación. Tenía previsto ir a México y República Dominicana. ",Cultura
Hoy comienza el Festival Palau Buenos Aires 2022,Con entrada libre y gratuita,"Este viernes 18 desde las 19:00 horas y el sábado 19 durante todo el día comienza el Festival Palau Buenos Aires 2022. Un show con figuras de primerísimo nivel como Patricia Sosa, Manuel Wirtz, Rodrigo Tapari, Gastón Pauls, Martín Russo y muchos más, que acompañarán a Andrés y Wendy Palau, conferencistas y motivadores internacionales.",Cultura
San Martín iluminado en el Conurbano del planeta,De Arte no entiendo nada,Pensar en una idea de conurbano global me abre la puerta a un dilema: la asimetría latinoamericana está construyendo una identidad similar a la realidad de una tierra de oportunidades “conurba”.,Cultura
Pablo Milanés fue internado en España y suspendió todos sus shows,La salud del cantante cubano,"El reconocido cantante y compositor cubano Pablo Milanés fue hospitalizado este fin de semana en un sanatorio de Madrid. Según informaron, la decisión se tomó por ""los efectos de una serie de infecciones recurrentes"".",Cultura
"Cinco canciones para recordar a Gal Costa, la referente del tropicalismo brasileño que marcó a una generación",Murió este miércoles,La emblemática cantante brasileña Gal Costa murió este miércoles a sus 77 años. La noticia fue confirmada por sus agentes de prensa esta misma mañana.,Cultura
El poder del genoma humano,De Arte no entiendo nada,La vejez es un estado de ánimo en la velocidad de los múltiples planos digitales con los que hay que convivir. Todo es rápido e instantáneo y somos débiles con el ritmo humano que veníamos manejando.,Cultura
Diego Valenzuela y un logro inédito: es el primer intendente en ganar un Martín Fierro,Mejor Programa Cultural y Educativo,"Periodista, historiador, intendente y ahora ganador del Martín Fierro 2021 de Cable por Mejor Programa Cultural y Educativo. Hablamos de Diego Valenzuela, del municipio bonaerense de Tres de Febrero, que se convirtió en el primer jefe comunal en recibir este emblemático premio por “Historias Ricas”, programa transmitido por TN. La temporada, realizada junto al escritor y divulgador Daniel Balmaceda y el conductor Federico Wiemeyer, mezcla dos grandes condimentos: descubrir lugares y costumbres por medio de la comida, especialmente en la provincia de Buenos Aires.",Cultura
Las atracciones de la Legislatura para la Noche de los Museos 2022,"Música en vivo, espacios artísticos y una novedosa obra textil de veinte metros ","La Legislatura de la Ciudad participará de la Noche de los Museos este sábado 22 de octubre y de 19:00 a 2:00 hs recibirá a los vecinos de la Ciudad con propuestas culturales, música en vivo y distintos espacios artísticos en la casa parlamentaria.",Cultura
Subastarán un ejemplar del Manifiesto Surrealista de André Bretón ,Tiene anotaciones hechas a mano por el poeta,"El ejemplar preimpreso y corregido a mano del Manifiesto del Surrealismo, del poeta francés André Breton, será subastado en París, después de haber estado décadas en la biblioteca del coleccionista Paul Destribats (1926-2017). Su dueño fue un hombre de antigua militancia comunista que hizo fortuna en el mercado de las materias primas.La subasta del texto de 1924 será el 3 y 4 de noviembre y está estimada entre 68 mil y 98 mil dólares, según informó este martes la casa de remates Christie's. Amante de los movimientos de vanguardia de principios del siglo XX, Destribats conservaba el manuscrito como parte de una colección sin precedentes que cultivó durante décadas.El ejemplar había salido a subasta en julio de 2019 a un precio mayor, pero no tuvo comprador. En aquella ocasión, la Biblioteca Nacional de Francia utilizó su derecho de tanteo para adjudicarse el manuscrito del Segundo Manifiesto del Surrealismo, por 442 mil euros. El Manifiesto del Surrealismo que se subastará tiene el título inicial, Introducción al surrealismo, y fue rayado a mano por el poeta.Los manifiestos son una reivindicación pública de la escuela surrealista, basada en la escritura automática y el libre arbitrio del pensamiento, sin ningún tipo de cortapisa estética o moral.",Cultura
Ponen a la venta el mítico departamento de Bioy Casares y Silvina Ocampo en Recoleta: cuánto cuesta y cómo es por dentro,Escenario de visitas de Borges e históricas sobremesas literarias ,"Era habitual: al menos una vez por semana Jorge Luis Borges pasaba por la calle Posadas al 1650 y subía a cenar a la casa de sus grandes amigos Adolfo Bioy Casares y Silvina Ocampo. Allí se armaba una larga sobremesa donde se conversaba sobre todas las novedades del mundo literario, muchas de ellas plasmadas en el libro Borges, publicado tras la muerte de Bioy. Esto transformó aquel departamento en la sede del programa literario encarnado por los artistas. Una embajada de la vanguardia literaria.",Cultura
"""The Crown"": Netflix difundió imágenes de la quinta temporada","Abarca los años 90, con Imelda Staunton como la reina Isabel II","Netflix dio a conocer las primeras imágenes de la quinta temporada de The Crown, la serie que narra los años de Isabel II en el trono del Reino Unido. La actriz Imelda Staunton es la encargada de personificar a la monarca, fallecida el pasado 8 de septiembre, con lo que The Crown, que verá la luz el 9 de noviembre, cobra especial significación en este momento. ",Cultura
La Municipalidad de La Plata quiere cambiar de lugar el recital del Indio Solari,Los motivos y la respuesta de Los Fundamentalistas del Aire Acondicionado,"Para los ricoteros no son todas buenas noticias. Este miércoles, horas después del lanzamiento de la venta de entradas para el show de la banda del ""Indio"" Solari, Los Fundamentalistas del Aire Acondicionado, en el estadio Único de La Plata Diego Armando Maradona el próximo sábado 12 de noviembre, el municipio puso en duda el evento y aseguró que no recibieron ningún pedido de autorización.",Cultura
La feria ArteBA exhibe por primera vez arte en NFT,Son obras de Franco Palioff,"La feria ArteBA, que se celebra hasta el domingo en su flamante sede Centro Costa Salguero, incluye como gran novedad, la presencia por primera vez de una muestra de arte NFT, proyecto de la galería Aura VTV, con obras del artista e ingeniero Franco Palioff.La muestra de arte NFT (o criptoarte) se desarrolla en el sector Utopía de la tradicional feria. No es la primera de la Argentina, sino la primera de ArteBA. El criptoarte es un término que copó el universo de las artes visuales desde que el estadounidense Beeple vendiera el collage digital ""Todos los días: los primeros 5000 días"" por 69 millones de dólares, a través de Christie's.""La galería llega a ArteBA con una propuesta que busca cuestionar la relación entre lo virtual y el soporte físico. El artista Franco Palioff, ingeniero nuclear recibido del Instituto Balseiro, aplica su conocimiento técnico al arte, y despliega las aristas expresivas de la escultura, la robótica, la imagen 3D y la pintura al óleo"", explicaron desde Aura VTV.Radicado en Alemania, Palioff (Argentina, 1988) participó en muestras individuales y colectivas y, desde que se licenció en Ingeniería Nuclear, aplica parte de su formación académica a objetos robóticos interactivos e instalaciones inteligentes con una poética centrada en la evolución de la humanidad.En esta ocasión presenta piezas de su serie ""Kavro""y ""en su planteo temático sobresale la simbiosis hombre-máquina, la dinámica social, la violencia, las etapas religiosas del ser humano y el papel que ocupan las personas en un mundo hiperconectado"", añadieron desde la galería.Algunas técnicas que emplea son el mapping 3D con Kinect (que permite controlar e interactuar con el ambiente sin necesidad de tener contacto físico), realidad aumentada, escultura, impresiones y pintura 3D, robótica y programación. Algunas de las obras exhibidas en la feria llevan títulos como ""Repetime"", ""A ver dejame que lo pienso"", ""El orificio"", ""Adentro"" y ""Bebedor"".Aura VTV es un proyecto formado por jóvenes vinculados al arte y la tecnología, que busca desarrollar, producir y acompañar los procesos creativos de artistas interdisciplinares para repensar el espacio y las formas de exhibición, en un contexto marcado por el auge del arte digital y las nuevas posibilidades de su comercialización.El equipo está compuesto por dos proyectos, uno focalizado en la curaduría de arte digital en el contexto de la posibilidad de inscribir archivos digitales en la blockchain (Aura); y otro que se dedica al desarrollo y reciclado de hardware para exhibir obras de arte digitales y repensar así los usos del espacio en el contexto de exhibición (VTV).La feria arteba 2022 se lleva a cabo hasta el 9 de octubre, de 12 a 20, en los pabellones 1, 2, 3 y 4 del Centro Costa Salguero, en avenida Costanera Rafael Obligado 1221 (CABA). Las entradas están disponibles en www.arteba.org.",Cultura
Daniel Barenboim anunció que padece una enfermedad neurológica,"""Doy un paso al costado en mis actividades""","""Es con una mezcla de orgullo y tristeza que anuncio que doy un paso al costado en mis actividades, sobre todo compromisos para dirigir, por los próximos meses"". De esta manera se inicia el comunicado que Daniel Barenboim publicó en las redes sociales. ",Cultura
La otra cara de los Premios Nobel: el sinfín de controversias que opaca el brillo de los galardones,"Machismo, eurocentrismo, omisiones, oscurantismo y hasta una distinción inventada","El 27 de noviembre de 1895, el industrial sueco Alfred Nobel firmó su testamento en París. Tenía 62 años. Además de legar su fortuna a familiares y conocidos, dispuso la creación de un premio “a aquellos quienes durante el año anterior hayan otorgado el mayor beneficio a la humanidad”. Instituyó galardones para literatura (dado por la Academia Sueca), química, física (ambos a cargo de la Academia Sueca de Ciencias) y medicina (en manos del Instituto Karolinska), a entregarse en Estocolmo; y un premio a la paz que otorgaría el Parlamento noruego. Nobel murió el 10 de diciembre de 1896 en San Remo, Italia. A partir de 1901, en el aniversario de su muerte, comenzaron a entregarse los premios que llevan su nombre.",Cultura
"La película ""Argentina, 1985"" se exhibirá gratis en el Espacio INCAA de Morón",Con entrada libre y gratuita,"El Espacio INCAA, que funciona en el Teatro Gregorio de Laferrere, será el único de la zona oeste del Gran Buenos Aires donde se podrá ver el largometraje con entrada libre y gratuita. Las localidades se podrán reservar a partir del martes 4 de octubre desde la web del Municipio de Morón, la app ""Morón a mano"" o retirarlas el mismo día de la función.",Cultura
Carlitos Balá Iluminado. El corte taza no se mancha,De Arte no entiendo nada,"Si el Mayo Francés hubiera tenido un gestito de idea en su simbología, seguramente el mundo hoy tendría la imaginación al poder en todas sus facetas. Pero las revoluciones intelectuales duran apenas una generación y quedan vencidas por el sumbudrule de las modas banales del consumo.",Cultura
"Subastaron el manuscrito de ""Starman"" de David Bowie por 200 mil libras",Será exhibido en un museo de Australia ,"El manuscrito de la canción ""Starman"", escrito de puño y letra de David Bowie, se vendió por un valor de 200 mil libras en una subasta. Los organizadores había estipulado un precio de venta cinco veces menor. El ganador fue un museo de Australia. ",Cultura
Cazzu se presentará este jueves ante un Luna Park agotado,Con una puesta integral impactante e innovadora,"A meses de haber presentado “NENA TRAMPA”, su último álbum de estudio y con sus sencillos principales acumulando casi 100 millones de streams en las plataformas, Cazzu llega este 29 de septiembre al Luna Park por primera vez y con entradas agotadas.",Cultura
El día que The New Yorker rechazó un cuento de García Márquez,Un año antes de que recibiera el Premio Nobel,"""Creo que Carmen Balcells le ha informado que de mala gana hemos decidido no publicar su cuento 'El rastro de tu sangre en la nieve'"". De esta manera arranca la carta de Roger Angell, de la revista The New Yorker, a un escritor latinoamericano, fechada el 15 de julio de 1981. La prestigiosa revista literaria rechazó la publicación de un cuento de Gabriel García Márquez. Un año más tarde, el autor colombiano, cuya agente literaria es mencionada al comienzo de la misiva, recibiría el Premio Nobel de Literatura.",Cultura
"Murió Louise Fletcher, la enfermera villana de ""Atrapado sin salida"" ",Tenía 88 años y ganó el Oscar por ese papel ," Louise Fletcher, la actriz que interpretó a la enfermera tirana Mildred Ratched en Atrapado sin salida, falleció a los 88 años de edad, informó este viernes la familia. La actriz murió por causas que no han sido reveladas en su residencia de Montdurausse, en Francia, acompañada de su familia.Fletcher ganó en 1976 el Oscar a mejor actriz por ese papel, que también le valió reconocimiento internacional tras una carrera cinematográfica que hasta entonces había sido más bien discreta.",Cultura
El Indio Solari presentó tres canciones nuevas,Cada tema tiene un alter ego diferente del cantante ,"Bajo los alter egos El Mister, Los Marsupiales Extintos, y El Cantante Tímido, el Indio Solari estrenó tres nuevas canciones el viernes por la noche. Los temas fueron difundidos en el programa Big Bang, que conduce el periodista y escritor Marcelo Figueras, y luego quedaron disponibles desde la medianoche en la página oficial del artista.",Cultura
"Jaime Torres iluminado, la obra de Alejandro Marmo para homenajear al histórico folclorista ",Una iniciativa de Gisela Marziotta,"En el día en que el maestro Jaime Torres cumpliría 84 años se inauguró ""Jaime Torres Iluminado"", obra realizada por Alejandro Marmo y declarada de interés cultural por la Diputada Nacional Gisela Marziotta, quien junto a Elba Torres, esposa de Jaime, y sus hijos, descubrieron la obra.",Cultura
"Las confesiones de Joaquín Sabina en ""Sintiéndolo mucho"", el documental sobre su vida",Mitos y verdades de sus canciones y el debate por la vejez,"Miedos, influencias y algunas revelaciones íntimas. El fin de semana se estrenó en el festival de cine de San Sebastián “Sintiéndolo mucho”, un documental biográfico de Joaquín Sabina donde se retrata al icónico cantautor español “sin bombín, a muy pocos centímetros de su piel, con nocturnidad y alevosía”. Su visión de la juventud y su alerta por la vejez, en una vida repleta de excesos.",Cultura
Lo frágil de aquello imposible, De Arte no entiendo nada,"Uno suele pensar que lo impenetrable es imposible, y tal vez en esa hipótesis, se licuan otras variables para la conquista de una experiencia profunda.",Cultura
"El trailer de ""Argentina 1985"", la película  de Ricardo Darín sobre el histórico Juicio a las Juntas","Cuándo se estrena, dónde verla y el gran elenco","“Argentina 1985” genera grandes expectativas. El quinto largometraje de Santiago Mitre —basado en el Juicio a las Juntas, que juzgó a los nueve militares que lideraron la última dictadura militar de 1976— y que ya fue destacada para representar a Argentina en la la 37° edición de los Premios Goya, en España, y seleccionada para el Festival de Cine de Venecia, llegará a los cines el 29 de septiembre y, tres semanas más tarde, estará disponible en todo el mundo a través de la plataforma Amazon Prime Video.",Cultura
Julio Zamora acompañó a 250 alumnos y alumnas de secundarias locales que visitaron el Teatro Pepe Soriano,"El intendente de Tigre, en Benavídez","El intendente de Tigre, Julio Zamora, acompañó a 250 alumnos y alumnas de las EES N°5, 6 y 21 que visitaron el Teatro Pepe Soriano. Bajo el programa municipal ""Las Escuelas van al Teatro"", los estudiantes disfrutaron de la obra ""La casa de atrás"", una mirada documental de la historia de Ana Frank. La iniciativa permite que jóvenes de escuelas primarias y secundarias del distrito puedan aprovechar de forma gratuita la oferta del espacio cultural de Benavídez.",Cultura
"Murió Jorge Milchberg, el músico argentino artífice del éxito de ""El cóndor pasa""",Tenía 93 años y fue clave en el arreglo del clásico del repertorio latinoamericano,"El músico y compositor argentino Jorge Milchberg, célebre por los arreglos y la grabación de ""El cóndor pasa"", un himno del repertorio latinoamericano, murió en París a los 93 años. Así lo informó este viernes la Embajada de la Argentina en Francia.",Cultura
Llega la jornada ‘Fútbol Literatura’ a Morón,"Habrá charlas y reportajes con figuras del deporte, escritores y periodistas ","La jornada de “Fútbol y Literatura” llega a Morón el próximo sábado en el Microestadio Diego Armando Maradona del Polideportivo Gorki Grana — Predio Quinta Seré. Se trata de un evento cultural en donde se disfrutará de diferentes actividades relacionadas al deporte y las letras. Habrá charlas con referentes del mundo del deporte, entrevistas en vivo, stands de promoción y venta de libros, presentaciones de publicaciones, actividades recreativas y un patio gastronómico.",Cultura
