titulo,subtitulo,primer_parrafo,seccion
"Liga Profesional 2023: tabla de posiciones, promedios, goleadores y fixture",Primera División del fútbol argentino,"Tabla de posiciones, promedios, goleadores, asistencias, fixture completo, tarjetas amarillas y rojas y todos los números y estadísticas de Liga Profesional 2023, la Primera División del fútbol argentino. Boca, River, Racing, Independiente, San Lorenzo y todos los equipos de la máxima categoría.",Deportes
Primera Nacional: All Boys y Chicago animan el clásico del ascenso,Juegan este sábado en Floresta por la primera fecha de la temporada 2023,"Nueva Chicago visitará este sábado a All Boys en uno de los grandes clásicos del ascenso en lo que será el inicio de la primera fecha de la Primera Nacional 2023 y por la Zona A. El partido se desarrollará desde las 17:10 en el Estadio Islas Malvinas, en el barrio porteño de Floresta, con el arbitraje de Pablo Giménez y televisado por TyC Sports. Además, en la jornada habrá otros tres partidos: Patronato-Brown de Puerto Madryn, a las 17; Alvarado-San Martín de San Juan, a las 20:45, y Defensores de Belgrano-Temperley, a las 21:20 (TyC). La zona B, integrada por 18 equipos, uno menos que la B, comenzará la semana próxima.",Deportes
La voz de Víctor Hugo,,"Siempre estamos volviendo a los lugares de los que nunca nos hemos ido. Reconocemos los mejores tiempos solo cuando los dejamos atrás. Aquellos lugares donde todavía es posible concebir una utopía del espíritu. Somos seres esculpidos de tiempo, de lenguaje y de memoria. Este fin de semana se va a inaugurar una fiesta luminosa, penetrante. “LA VOZ” (con mayúsculas) regresa a la AM 750 con todo el fútbol de la Liga Profesional argentina desde la plataforma Relatorxs. Víctor Hugo se empecinó en recuperar a Voltaire: “el fútbol (la vida) está donde esté yo”, para diseñar un espacio de fútbol oloroso, penetrante, con un relato electrizante, pegadito al pie, exigiendo la pelota, cuidándola, protegiéndola; presionando la salida, recuperando los espacios, triangulando. Todo ello desde el universo de la radio. Es la forma de beberse el fútbol argentino a borbotones: “algo que me permite seguir despuntando el vicio, acompañando a los muchachos”, declaró. Un sol cálido luminoso que se empecina, una vez más, en acariciarte las pasiones del alma.",Deportes
Copa Davis: Argentina probó la superficie a dos días del duelo ante Finlandia,El equipo nacional se entrenó por primera vez en el estadio de la serie,"El termostato asusta. En Espoo, en la costa sur de Finlandia, el frío pega duro: son cuatro grados bajo cero. El sábado, cuando el equipo argentino de la Copa Davis ponga inicio al duelo crucial ante el conjunto local, ese número corresponderá a la temperatura máxima -la mínima será de 12 grados bajo cero-.",Deportes
La Selección femenina ya tiene su lista para la primera Fecha FIFA,El entrenador Portanova convocó 21 jugadoras para viajar a Nueva Zelanda,"El entrenador del seleccionado femenino argentino de fútbol, Germán Portanova, dio la lista de las convocadas para la primera fecha FIFA del año mundialista, que será en Nueva Zelanda, una de las sedes de la Copa del Mundo junto con Australia. El seleccionado albiceleste fue invitado en la ventana correspondiente al torneo de play-off que se disputará del 17 al 23 de febrero en Auckland y Hamilton, dos de las ciudades neozelandesas que Argentina deberá visitar en julio por la fase de grupos del Mundial, donde tendrá como rivales a Suecia, Italia y Sudáfrica.",Deportes
Djokovic ganó Australia con un desgarro de tres centímetros,"Lo aseguró el director del torneo, Craig Tiley","El serbio Novak Djokovic ganó el Abierto de Australia el pasado domingo por más que sufrió un desgarro de tres centímetros durante la disputa del certamen. Pese a las sospechas que levantaron sus movimientos y que muchos negaran la lesión más allá de que el serbio fuese atendido en varios partidos, el director del certamen, Craig Tiley, confirmó la versión al asegurar que vio los estudios y corroboró que Djokovic tenía un desgarro de tres centímetros en su pierna izquierda.",Deportes
Arranca el torneo femenino con dos partidos,Cada club ya tiene al menos 15 futbolistas con contrato firmado,"El fútbol femenino de la Argentina arranca una nueva etapa. Con dos encuentros de la primera fecha, este viernes comenzará el flamante certamen, que contará con la participación de 20 equipos, con el debut de Belgrano de Córdoba y Banfield en la máxima categoría de la AFA y con Boca como defensor del título.",Deportes
San Lorenzo: Gattoni firma o lo bajan a la reserva,Se agudiza el conflicto entre el capitán y la dirigencia azulgrana,"El director deportivo de San Lorenzo, Matías Caruzzo, avisó que ""el club no va cambiar los términos y las condiciones ya acordadas"" para firmar la renovación del contrato del defensor y capitán, Federico Gattoni, con quien se entrevistó luego de su reincorporación a los entrenamientos en la Ciudad Deportiva.Caruzzo aseguró que ""todo lo que se había pactado entre el club, el jugador y su representante está para firmar"", algo que espera concretar antes del fin de semana para ""seguir disfrutando de Federico con la camiseta azulgrana"". Por de pronto, el jugador no será tenido en cuenta para el partido del sábado a las 21.30 ante Lanús por la segunda fecha del campeonato de la Liga Profesional.En caso no firmar, si bien no lo dijo expresamente, Gattoni sería enviado a entrenarse con la reserva hasta el final del contrato actual, el 30 de junio próximo. ""Hay una decisión tomada que se la tendremos que comunicar oportunamente al jugador, pero nuestra intención es que firme la renovación"", dijo.",Deportes
"""Enzo Fernández es un futbolista fantástico"", destacó el DT de Chelsea","Tras ser adquirido en 120 millones de euros, Graham Potter habló del campeón con la Selección en Qatar","El entrenador de Chelsea, Graham Potter, dijo que el mediocampista Enzo Fernández es un ""jugador fantástico"", tras la transferencia por 120 millones de euros que cobrará Benfica de Portugal, y adelantó que podría ser convocado para este viernes ante Fulham en Stamford Bridge, por la fecha 22 de la Premier League, si ""llegan los papeles"".",Deportes
Liga de España: Real Madrid ganó y se acercó al líder Barcelona,El equipo de Ancelotti se impuso 2-0 a Valencia en un partido pendiente de la fecha 17,"Real Madrid derrotó 2-0 este jueves a Valencia, como local, y se acercó al líder Barcelona en la Liga de España, tras jugar un partido pendiente correspondiente a la fecha 17, que se reprogramó por la Supercopa de España que días pasados obtuvo el conjunto culé ante los merengues.",Deportes
