titulo,subtitulo,primer_parrafo,seccion
"🔴 En vivo. Dólar blue y dólar hoy: todas las cotizaciones de este viernes 3 de febrero, minuto a minuto",El precio de compra y venta de la divisa ,"El dólar blue cotiza a $379 para la venta y $375 para la compra. El dólar en el Banco Nación se vende a $194,50 para la venta y se compra a $186,50. Seguí minuto a minuto las cotizaciones.",Economía
Presentan la segunda etapa de Precios Justos,"Incluye nuevos productos, la canasta escolar y el precio de las escuelas privadas","El ministro de Economía, Sergio Massa, anunció la segunda etapa del programa Precios Justos, que incluye quince sectores de consumo con una pauta de incremento de precios de 3,2 por ciento mensual hasta el 30 de junio, en un acuerdo voluntario alcanzado con más de 480 empresas productoras y comercializadoras. La novedad, dijo el titular de la cartera de Hacienda, es que la ampliación del programa incluye la canasta escolar y el precio de las escuelas privadas de todo el país. ""Nosotros como Estado vamos a cumplir, esperamos  que empresarios, trabajadores, cadenas de supermercados y productores de bienes de consumo masivo también cumplan porque es en beneficio de todos los argentinos"", dijo.",Economía
"Dólar blue hoy, dólar hoy: a cuánto cotizan el viernes 03 de febrero",El dólar blue sube 3 pesos ,"La brecha entre el oficial y el dólar blue lleva a 101.75%.En comparación con el último día hábil, donde el blue cotizaba a $373,00 para la compra y $377,00 para la venta.",Economía
Emitirán un billete de 2000 pesos,"""Mejorará el funcionamiento de cajeros automáticos""","El Directorio del Banco Central de la República Argentina (BCRA) aprobó la emisión de un nuevo
billete que incorpora la denominación $ 2000 y que se integrará a la actual Línea Peso. Mientras tanto, según fuentes oficiales, se mantiene en estudio la alternativa de emitir un billete de 5000 pesos.",Economía
Mal inicio de mes para las reservas ,El Banco Central debió vender u$s 56 millones. Europa sube las tasas,"El dólar oficial cerró con una cotización promedio de $195,14, con una suba de 19 centavos respecto del miércoles, en una rueda en la que el Banco Central finalizó la jornada con ventas por US$56 millones. En el mercado informal, el denominado dólar ""blue"" tuvo un incremento de un peso, que lo llevó a $378 por unidad.En tanto, en el mercado bursátil, el dólar contado con liquidación (CCL) registra un descenso de 0,6%, a $364,78; mientras que el MEP avanza 0,2%, a $354,32, en el tramo final de la rueda. En el segmento mayorista, la divisa estadounidense finalizó con un incremento de 28 centavos respecto al cierre previo, en un promedio de $187,57.Así, el dólar con el recargo de 30% -contemplado en el impuesto PAÍS-, marcó un promedio de $253,68 por unidad, y con el anticipo a cuenta del Impuesto a las Ganancias de 35% sobre la compra de divisas, a $321,98.",Economía
Triangulaciones delictivas,Detectan sobrefacturación en la importación de neumáticos para conseguir dólares a precio oficial,"Aduana detectó operaciones de triangulación y sobre-facturación de importaciones de neumáticos entre firmas del grupo económico dueño de Pirelli. Mediante una tercera empresa italiana se aumentaba el monto comercializado por una filial argentina que de esa forma obtenía dólares al tipo de cambio oficial. El director de Aduana, Guillermo Michel, viene informando sobre dos prácticas ilegales detectadas en el sector: el contrabando a través del noroeste argentino y la sobre-facturación de importaciones. Se multó a Prometeon Tyre Group de Argentina por 20 millones de dólares.",Economía
Almorzando (caro) con Patricia Bullrich,Cuánto cobra la titular del PRO para comer con empresarios en la previa a la campaña,"Las internas de la oposición, además de darse de manera descarnada en cuanto a disputas políticas, tiene en el componente dinero de fondos para la campaña una carrera aún más picada. En la pelea de fondo, la del alcalde porteño, Horacio Rodríguez Larreta, versus la titular del PRO, Patricia Bullrich, está el capítulo más notable de esa contienda por quien se queda con la mayor cantidad de avales dinerarios del poder económico. A tales fines, según confiaron a Página I12 desde su entorno, Bullrich ya armó un búnker en el primer piso de un hotel céntrico de poca exposición pública pero de 5 estrellas, por donde desfilan empresarios de diferentes sectores pagando un cubierto de hasta 600 mil pesos por almorzar con la promesa más extrema del macrismo para las presidenciales de este año. La dirigente, más allá de las fotos posadas de Macri con diferentes candidatos en el country patagónico Cumelén, parece además ser la elegida por el dueño de Juntos por el Cambio para ser la receptora de la mayor de aportes, vía pedidos de Mauricio a empresarios para que la salgan a bancar. ",Economía
Precios Justos en versión 3.2,La nueva etapa del programa tendrá vigencia hasta el 30 de junio e incorporará a otros sectores,"El Gobierno presentará este viernes una ampliación del programa Precios Justos, que constituye una herramienta central en el dispositivo del Ministerio de Economía para encarar la disputa para bajar la inflación de cara al año electoral. El programa va a ampliarse en 50 mil productos de diversos sectores del consumo popular, con una pauta de aumento mensual del 3,2 por ciento hasta el 30 de junio. Así, el Ejecutivo busca moderar las expectativas inflacionarias, que están todavía bastante por encima de esa pauta. Se espera que la inflación de enero se ubique entre el 5 y el 6 por ciento.",Economía
"Dólar blue y dólar hoy: todas las cotizaciones de este jueves 2 de febrero, minuto a minuto",El precio de compra y venta de la divisa,"El dólar blue cotizó este jueves a $378 para la venta y $374 para la compra. Por su parte, el dólar oficial en el Banco Nación cerró a $194,50 para la venta y $186,50. Seguí minuto a minuto las cotizaciones del dólar.",Economía
Aumento alquileres febrero 2023: como calcularlo con el índice del BCRA ,El incremento de enero rondó el 81%,"De acuerdo con la Ley de Alquileres vigente, la cual establece que los aumentos de los contratos se rigen por ajustes anuales, los inquilinos que firmaron un contrato en febrero de 2022, percibirán el próximo mes un aumento de alrededor del 86%. En enero, el incremento rondó el 81%.",Economía
